VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,CONTRACT NUMBER,VENDOR NAME,CASHED
PV27139701291,2769629.93,09/19/2018,DEPT OF AVIATION,31999,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",True
PV39962910649,16741.97,04/20/2019,DEPT OF FAMILY AND SUPPORT SERVICES,18085,CORNERSTONE COMMUNITY OUTREACH,True
PV99896754914,6023.5,03/13/2018,DEPT OF GENERAL SERVICES,41708,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,True
PV27103930427,5228.78,08/15/2019,DEPT OF GENERAL SERVICES,31999,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,True
CVIP783019374,36262.43,03/12/2018,DEPT OF BUSINESS & INFORMATION SERVICES,28364,SAFER FOUNDATION,True
PV39967438432,23607.38,07/29/2018,DEPT OF FLEET MGMT,30015,QUILL CORPORATION,True
PV99975965760,752.88,08/12/2019,DEPT OF FAMILY AND SUPPORT SERVICES,66942,LANGUAGE LINE SERVICES 01,True
PV99682948093,2353.96,06/17/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30298,"INTER-CITY SUPPLY CO., INC.",False
PV39435742443,2324.26,04/03/2018,DEPT OF FAMILY AND SUPPORT SERVICES,41708,HOWARD BROWN HEALTH CENTER,True
PV39898484100,28129.58,03/23/2019,DEPT OF GENERAL SERVICES,67510,AECOM TECHNICAL SERVICES,True
PV27347126949,5235.25,08/21/2018,DEPT OF FLEET MGMT,75071,POSTAGE BY PHONE - PRIORITY PAYMENT - IMMEDIATE RELEASE,True
PVRF362847415,199.8,03/08/2018,DEPT OF GENERAL SERVICES,29937,MIDLAND ORTHOPEDIC ASSOCIATES 01,True
PVCI082873278,859.86,12/13/2018,DEPT OF COMMUNITY DEVELOPMENT,29859,POSTAGE BY PHONE,True
PVCI255097694,709.0,12/24/2018,DEPT OF GENERAL SERVICES,49308,"SAFELITE FULFILLMENT, INC.",True
PV39434906555,511553.36,08/04/2018,DEPT OF FAMILY AND SUPPORT SERVICES,34452,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,True
PVRF680826698,3766.91,02/26/2019,DEPT OF COMMUNITY DEVELOPMENT,18086,"SGA YOUTH & FAMILY SERVICES, NFP",True
PV39029451339,164411.19,11/28/2019,DEPT OF COMMUNITY DEVELOPMENT,30043,CARE PLUS LLC,True
PVRF029494414,16166.27,08/21/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,49569,MICHAEL REESE RESEARCH & EDUCATION FOUNDATION,True
PVCI417668871,357.26,01/28/2019,DEPT OF AVIATION,27914,BUILDERS CHICAGO CORPORATION,True
PV39018012468,441596.6,11/27/2019,DEPT OF FLEET MGMT,26775,"MCDONAGH DEMOLITION, INC.",True
PV39509744095,112.65,04/04/2018,DEPT OF AVIATION,36561,"OFFICE DEPOT, INC.",True
PVCI585907387,10249.73,12/24/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,75071,"OAKK CONSTRUCTION COMPANY, INC",True
CVIP661760903,3152.94,09/20/2019,DEPT OF BUSINESS & INFORMATION SERVICES,29859,"INGRAM LIBRARY SERVICES, INC",True
PV27585367801,58131.86,08/27/2018,DEPT OF GENERAL SERVICES,30014,JOHNSON PIPE & SUPPLY COMPANY INC,True
PV27798483229,4850.53,03/01/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,30586,"INGRAM LIBRARY SERVICES, INC",True
PV99342615360,1887.17,10/05/2019,DEPT OF FAMILY AND SUPPORT SERVICES,32230,MERCYWORKS OCCUPATIONAL MEDICINE,True
PV27945771135,37262.5,02/14/2018,DEPT OF GENERAL SERVICES,32564,"DELTA DEMOLITION, INC",True
PV39697164385,7641.78,08/23/2018,DEPT OF GENERAL SERVICES,24835,ENTERPRISE LEASING CO OF CHICAGO,True
CVIP704198101,22141.54,04/10/2018,DEPT OF FAMILY AND SUPPORT SERVICES,74381,CHRISTIAN COMMUNITY HEALTH CENTER,True
PVRF566584300,2001.28,10/31/2018,DEPARTMENT OF WATER MANAGEMENT,47754,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PVRF769382007,12718.15,08/08/2018,DEPT OF COMMUNITY DEVELOPMENT,69568,"GRAYBAR ELECTRIC COMPANY, INC",True
PVRF198407693,5255.06,11/25/2019,OHARE MODERNIZATION PROJECT,30014,JOHNSON PIPE & SUPPLY COMPANY INC,True
CVIP256367196,12638.08,08/17/2018,DEPT OF GENERAL SERVICES,12687,FIRST SCRIPT,True
PV99347334335,35227.97,01/27/2018,DEPT OF AVIATION,18085,"CDW GOVERNMENT, LLC.",True
PV27661203121,161260.0,07/31/2019,DEPT OF BUSINESS & INFORMATION SERVICES,49569,BENCH MARK CONSTRUCTION. CO. INC,True
PVRF529358770,8578.72,03/04/2019,FIRE DEPARTMENT,58539,AT&T CORP,True
CVIP764073565,5409.19,03/27/2018,DEPARTMENT OF POLICE,24835,RUSH UNIVERSITY MEDICAL CENTER,False
PVRF581587102,932707.73,05/28/2018,DEPT OF BUSINESS & INFORMATION SERVICES,41933,KENNY CONSTRUCTION COMPANY,True
PVCI999144617,9661.33,02/15/2019,DEPT OF AVIATION,21859,AT&T CORP,True
PVRF043114796,47059.81,08/01/2019,DEPT OF FAMILY AND SUPPORT SERVICES,73158,ENTERPRISE LEASING CO OF CHICAGO,True
PVRF301088589,6915.15,03/16/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30298,PITNEY BOWES GLOBAL FINANCIAL,True
PV27506956489,130074.87,11/23/2018,DEPT OF FAMILY AND SUPPORT SERVICES,17739,WORLD FUEL SERVICES INC,True
PVRF560371982,27808.35,10/26/2018,FIRE DEPARTMENT,17739,"SKYTECH ENTERPRISES, LIMITED",True
PV99709094933,72652.08,08/05/2018,DEPT OF AVIATION,24932,G & V CONSTRUCTION CO INC,True
PV27076763263,72329.08,01/29/2018,DEPT OF FLEET MGMT,33469,HAYMARKET CENTER,True
CVIP600261258,974.76,05/29/2018,DEPARTMENT OF WATER MANAGEMENT,19847,"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C",True
CVIP256286723,24207.2,08/15/2019,DEPT OF COMMUNITY DEVELOPMENT,33371,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
CVIP025862011,957.2,09/29/2018,DEPT OF FAMILY AND SUPPORT SERVICES,26775,"OFFICE DEPOT, INC.",True
PV39718873484,581.09,02/10/2019,DEPT OF FAMILY AND SUPPORT SERVICES,20293,"ARROW MESSENGER SERVICES, INC.",True
PV99478041818,10243.29,05/30/2018,DEPT OF AVIATION,21860,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV39570623638,1056.61,07/27/2019,DEPT OF FAMILY AND SUPPORT SERVICES,24512,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,True
CVIP741645619,889.97,03/18/2018,DEPT OF FLEET MGMT,32564,"INGRAM LIBRARY SERVICES, INC",True
PV27848589410,27356.62,01/22/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,30303,G & V CONSTRUCTION CO INC,True
PV99367563525,2566.02,02/06/2018,DEPT OF FLEET MGMT,18086,JOHNSON PIPE & SUPPLY COMPANY INC,True
PV39001244410,16345.95,08/17/2018,DEPT OF GENERAL SERVICES,102621,AT&T CORP,True
PVCI486407790,45884.51,08/12/2018,DEPT OF COMMUNITY DEVELOPMENT,34450,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PV99722649578,240.16,02/11/2019,FIRE DEPARTMENT,1416,"SAFELITE FULFILLMENT, INC.",True
PVCI159279347,6079.68,05/21/2019,DEPT OF FAMILY AND SUPPORT SERVICES,26588,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV99434389896,53543.52,01/24/2019,OFFICE OF EMERGENCY COMMUNICATION,24512,"UNISON CONSULTING, INC.",True
CVIP714234782,185011.9,02/27/2018,DEPT OF GENERAL SERVICES,28775,DELL MARKETING LP.,True
PVCI848556429,2025.26,08/28/2018,DEPT OF COMMUNITY DEVELOPMENT,102621,"OFFICE DEPOT, INC.",True
PV99202860336,545743.13,04/27/2019,DEPT OF BUSINESS & INFORMATION SERVICES,24027,KENNY CONSTRUCTION COMPANY,True
PVCI057608773,43.14,01/02/2019,DEPT OF GENERAL SERVICES,18085,GREATER ILLINOIS TITLE COMPANY,True
PV27267071292,36814.13,11/14/2019,DEPT OF GENERAL SERVICES,41708,JOHNSON PIPE & SUPPLY COMPANY INC,True
CVIP358689978,179.5,02/02/2019,DEPT OF FAMILY AND SUPPORT SERVICES,30043,AT & T 09,True
PV99845280215,568045.37,07/15/2018,DEPT OF FAMILY AND SUPPORT SERVICES,28466,"CDW GOVERNMENT, LLC.",True
CVIP549625647,1250.91,09/24/2018,DEPT OF FAMILY AND SUPPORT SERVICES,36561,BOYS & GIRLS CLUBS OF CHICAGO,True
PV39186375619,28051.03,04/19/2019,CHICAGO PUBLIC LIBRARY,31999,CHICAGO COMMONS ASSOCIATION 02,True
PV99928373598,22896.04,02/18/2018,FIRE DEPARTMENT,30303,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
PV27891300729,7.85,11/02/2019,DEPT OF FAMILY AND SUPPORT SERVICES,58539,P V HOLDING CORP,True
PVCI428581116,1849.41,09/22/2018,DEPT OF FAMILY AND SUPPORT SERVICES,29554,CANON SOLUTIONS AMERICA INC,True
PV99651756763,5033.94,09/26/2018,DEPT OF GENERAL SERVICES,15451,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,True
PVRF199815040,8184.88,01/29/2018,DEPT OF BUSINESS & INFORMATION SERVICES,41708,"INGRAM LIBRARY SERVICES, INC",True
PVRF433874906,33257.5,03/07/2019,DEPARTMENT OF LAW,22875,G & V CONSTRUCTION CO INC,True
PVCI783553188,407245.43,09/01/2018,DEPT OF FAMILY AND SUPPORT SERVICES,26901,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,True
PV39691018541,16299.26,11/16/2019,DEPT OF AVIATION,28775,"SILK SCREEN EXPRESS, INC.",True
PVRF396811647,2817.24,02/05/2018,FIRE DEPARTMENT,3718,COMCAST OF CHICAGO INC,True
PVCI442258845,63.68,04/01/2019,CHICAGO PUBLIC LIBRARY,1416,"OFFICE DEPOT, INC.",False
PV27507292149,12952.35,08/19/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,67510,"RICONDO & ASSOCIATES, INC.",True
PV39738075682,245.9,01/13/2018,DEPARTMENT OF WATER MANAGEMENT,30043,"OFFICE DEPOT, INC.",True
PVCI855804279,4693.69,03/26/2018,DEPT OF GENERAL SERVICES,21974,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV39222181255,3414.2,04/16/2018,CHICAGO DEPARTMENT OF TRANSPORTATION,DV,HAYMARKET CENTER,True
PV39929168851,5894.73,10/15/2019,DEPT OF GENERAL SERVICES,20074,HERC RENTALS INC,False
PVRF543640468,7098.59,06/28/2018,DEPT OF AVIATION,T27781,SET ENVIRONMENTAL INC,False
PV27588417932,60586.89,07/21/2019,DEPT OF FAMILY AND SUPPORT SERVICES,67510,"ERIE FAMILY HEALTH CENTER, INC.",True
PV99042717650,11098.58,05/09/2019,DEPARTMENT OF POLICE,18085,JOHNSON PIPE & SUPPLY COMPANY INC,True
CVIP059973791,49193.7,07/04/2018,DEPT OF AVIATION,28295,"MCDONAGH DEMOLITION, INC.",True
PV99878336734,2351.32,07/23/2018,DEPARTMENT OF HEALTH,28775,HIGHWAY SAFETY CORPORATION.,True
PV39699574780,2464.4,04/20/2018,FIRE DEPARTMENT,29709,"OFFICE DEPOT, INC.",True
PVCI798110785,7728.09,10/30/2018,DEPARTMENT OF WATER MANAGEMENT,69568,"OFFICE DEPOT, INC.",True
PV99370155586,528.28,04/05/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,75071,MERCYWORKS OCCUPATIONAL MEDICINE,True
PV99335460962,45047.85,02/24/2019,DEPARTMENT OF REVENUE,21859,DELL MARKETING LP.,True
PV27268963436,57824.18,07/01/2018,DEPT OF FAMILY AND SUPPORT SERVICES,26588,METROPOLITAN FAMILY SERVICE,True
PV27577680052,235670.18,01/03/2019,DEPT OF GENERAL SERVICES,19847,"UNISON CONSULTING, INC.",True
PV39716667042,22505.54,06/28/2019,CHICAGO PUBLIC LIBRARY,18086,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,True
PV27053457310,17646.89,05/07/2019,DEPT OF AVIATION,29859,RUSH UNIVERSITY MEDICAL CENTER,True
CVIP446425316,68565.16,09/01/2019,DEPT OF GENERAL SERVICES,14731,JOHNSON PIPE & SUPPLY COMPANY INC,True
PV39947027329,2887.51,04/14/2018,DEPT OF FAMILY AND SUPPORT SERVICES,12687,HERC RENTALS INC,True
PV99111838401,22930.25,11/11/2018,DEPT OF FAMILY AND SUPPORT SERVICES,29937,PEOPLE'S GAS LIGHTS & COKE COOK FLEET|CLEANED-UP,True
PV99084279611,381.53,10/08/2019,DEPT OF GENERAL SERVICES,36561,GREATER ILLINOIS TITLE COMPANY,True
PV39915371986,2092.71,10/29/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30043,AT & T 09,True
PV99483933260,226207.72,09/15/2018,DEPT OF GENERAL SERVICES,21859,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
PV99932229633,21.94,12/04/2018,DEPT OF AVIATION,24026,"OFFICE DEPOT, INC.",True
PVRF181524222,261.56,10/01/2018,DEPT OF FAMILY AND SUPPORT SERVICES,75071,HERC RENTALS INC,True
PV39248406372,48966.51,09/28/2019,DEPARTMENT OF WATER MANAGEMENT,24026,"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS",True
PV39620238331,60137.6,02/23/2019,DEPT OF BUSINESS & INFORMATION SERVICES,46305,HNTB CORPORATION,True
PV39833174673,43751.45,10/25/2019,DEPARTMENT OF HEALTH,32230,EL HOGAR DEL NINO INC|CLEANED-UP,True
PVCI809627454,1971.0,11/10/2019,DEPT OF STREETS & SANITATION,19550,KENNY CONSTRUCTION COMPANY - URGENT - SAME DAY WIRE TRANSFER,True
PV39606801751,1667.77,07/27/2019,DEPARTMENT OF POLICE,30300,SIGNATURE FLIGHT SUPPORT,True
CVIP266168202,24200.26,09/25/2018,DEPT OF FAMILY AND SUPPORT SERVICES,19539,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV39467381465,18049.63,01/31/2019,DEPT OF FAMILY AND SUPPORT SERVICES,26775,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
PV39860290824,20403.0,07/16/2019,DEPT OF GENERAL SERVICES,24932,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,True
CVIP575869696,57507.8,03/04/2019,DEPT OF FAMILY AND SUPPORT SERVICES,19539,"ARNOLD SCOTT HARRIS, P.C.",True
PVRF736124236,4034.38,04/16/2019,DEPT OF BUSINESS & INFORMATION SERVICES,49569,"MIDWEST ORTHOPAEDICS AT RUSH, LLC",True
PV27871983505,29320.67,01/31/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,14731,CHICAGO CHILD CARE SOCIETY,True
PV99792174679,10194.93,05/21/2019,DEPT OF AVIATION,40336,CHRISTIAN COMMUNITY HEALTH CENTER,True
PVRF579036823,34905.95,10/07/2019,DEPT OF FAMILY AND SUPPORT SERVICES,24835,CAROLE ROBERTSON CENTER FOR LEARNING,True
PV39256913349,37502.27,05/10/2018,DEPARTMENT OF WATER MANAGEMENT,21860,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
CVIP365266992,271.79,02/27/2019,DEPT OF FAMILY AND SUPPORT SERVICES,21859,"OFFICE DEPOT, INC.",True
PVRF997952336,77789.45,03/08/2019,DEPT OF FAMILY AND SUPPORT SERVICES,DV,DYNAMO MANAGEMENT CORP,True
CVIP771814895,18702.57,08/25/2019,DEPT OF FAMILY AND SUPPORT SERVICES,28296,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV99435768555,62.26,04/25/2019,DEPARTMENT OF POLICE,33233,"IL BONE AND JOINT INSTITUTE, LLC",True
PV27488221147,8970.44,08/02/2018,DEPT OF GENERAL SERVICES,24512,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,False
PV39037976530,2343.95,10/28/2019,DEPT OF FAMILY AND SUPPORT SERVICES,18085,ALL CHICAGO MAKING HOMELESSNESS HISTORY,True
PV27333897987,24.95,01/30/2019,DEPARTMENT OF WATER MANAGEMENT,91165,P V HOLDING CORP,False
PV27100622200,4362.89,07/10/2018,DEPARTMENT OF WATER MANAGEMENT,21974,SECRETARY OF STATE,True
PVCI639395896,135.91,09/04/2019,DEPARTMENT OF HEALTH,40336,SCR MEDICAL TRANSPORTATIONS INC LS,True
PV27861255177,7139.15,08/13/2018,DEPARTMENT OF FINANCE,30043,"INGRAM LIBRARY SERVICES, INC",True
PV99225181440,70473.1,04/05/2019,DEPARTMENT OF WATER MANAGEMENT,21859,"T. Y. LIN INTERNATIONAL GREAT LAKES, INC.",True
PVRF266273103,5909.7,02/17/2018,DEPT OF COMMUNITY DEVELOPMENT,19393,VERIZON WIRELESS,True
PV39340804115,5877.6,02/21/2018,DEPT OF FAMILY AND SUPPORT SERVICES,34452,PRIMO CENTER FOR WOMEN AND CHILDREN,True
PVCI201024234,3543.44,09/12/2018,DEPT OF FAMILY AND SUPPORT SERVICES,66942,AIR ONE EQUIPMENT INC,True
PV39539049743,19103.95,04/05/2019,DEPT OF COMMUNITY DEVELOPMENT,19847,PRODUCTION DISTRIBUTION COMPANIES,True
PV99327431401,2572.43,08/04/2018,DEPT OF FAMILY AND SUPPORT SERVICES,40336,SCR MEDICAL TRANSPORTATIONS INC LS,True
PV39916291574,4064.96,02/10/2019,DEPT OF GENERAL SERVICES,74381,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
PV99997497584,10243.29,05/30/2018,DEPT OF AVIATION,21860,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PV39898183759,1772575.22,07/03/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30043,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",True
PVRF316206033,177460.6,06/26/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,29554,"INGRAM LIBRARY SERVICES, INC",True
PV27127924824,1512.44,10/21/2019,DEPT OF FAMILY AND SUPPORT SERVICES,41932,FEDEX,True
PV39813232868,533.39,12/19/2018,DEPARTMENT OF POLICE,3718,SERVICE SANITATION,True
PVRF572600642,999.46,02/22/2018,DEPT OF GENERAL SERVICES,31999,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,True
PVRF549630074,7248.1,12/26/2018,DEPT OF AVIATION,61840,PRIMO CENTER FOR WOMEN AND CHILDREN,True
PV39076844885,47015.07,05/15/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,24835,"CHRISTOFANO EQUIPMENT CO., INC.",True
PV27157951698,62180.87,09/27/2019,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,12687,"UNISON CONSULTING, INC.",True
PVCI112441839,3518.3,06/12/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24025,"OFFICE DEPOT, INC.",True
PVRF929965289,14458.58,05/01/2018,DEPT OF GENERAL SERVICES,32564,COMMONWEALTH. EDISON CO.,True
PVCI736328302,344520.7,11/21/2018,DEPT OF FAMILY AND SUPPORT SERVICES,30871,CHICAGO YOUTH CENTERS,True
PV39562187496,49136.0,07/07/2019,DEPT OF FAMILY AND SUPPORT SERVICES,29937,G & V CONSTRUCTION CO INC,True
PVRF240809975,49741.24,06/05/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,30545,"CHINESE AMERICAN SERVICE LEAGUE, INC.",True
PVCI708375001,399.05,07/03/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,29937,AT&T CORP,True
PVRF247695482,101.74,06/20/2018,DEPT OF FAMILY AND SUPPORT SERVICES,47811,"OFFICE DEPOT, INC.",True
PVRF185854586,27790.45,06/03/2019,DEPT OF FAMILY AND SUPPORT SERVICES,20293,CAROLE ROBERTSON CENTER FOR LEARNING,True
CVIP154867684,1274.68,08/15/2018,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,30043,"OFFICE DEPOT, INC.",True
PV27558330879,12583.82,08/10/2019,DEPT OF FAMILY AND SUPPORT SERVICES,24932,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
CVIP940744910,75319.82,01/18/2019,DEPARTMENT OF HEALTH,61840,"MORTON SALT, INC.",True
CVIP249731318,3630.3,03/09/2019,DEPT OF FAMILY AND SUPPORT SERVICES,21974,"CITY ESCAPE GARDEN & DESIGN,LLC",True
CVIP468647534,13137.58,10/03/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,DV,DYNAMO ENTERPRISES INC,True
PVCI990718106,2501.05,02/05/2019,DEPT OF BUSINESS & INFORMATION SERVICES,30986,KOAL ENTERPRISES INC,True
PV39488055410,18053.75,09/05/2018,DEPT OF FAMILY AND SUPPORT SERVICES,41708,"ALBANY PARK COMMUNITY CENTER, INC",True
PVRF616624394,280.92,11/27/2019,DEPARTMENT OF WATER MANAGEMENT,20293,PV HOLDING CORP,True
PV27643193746,112736.9,08/09/2019,DEPARTMENT OF LAW,22875,"WELCH BROTHERS, INC",True
PV39468881733,2326.78,03/09/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,28364,"OFFICE DEPOT, INC.",True
PV99391503449,60.62,02/18/2019,CHICAGO DEPARTMENT OF TRANSPORTATION,26313,AMERICAN EXPRESS TRAVEL RELATE,True
PVRF346061599,9950.93,05/27/2018,DEPT OF GENERAL SERVICES,30871,HAYMARKET CENTER,True
PVRF352341525,1128.54,07/25/2018,DEPT OF GENERAL SERVICES,61840,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,True
PVRF556168363,6793.87,10/15/2018,DEPT OF FLEET MGMT,49308,"URLAUB, BOWEN & ASSOCIATES. INC.",True
PVRF825585783,233.72,11/09/2019,DEPT OF BUSINESS & INFORMATION SERVICES,29859,"OFFICE DEPOT, INC.",True
PVRF053866228,10050.39,09/20/2018,DEPT OF FAMILY AND SUPPORT SERVICES,24026,HOWARD BROWN HEALTH CENTER,True
PVRF728396960,19834.53,03/05/2019,DEPT OF FAMILY AND SUPPORT SERVICES,DV,QUANTUM HOLDINGS INC,True
PV99501477491,77570.73,01/30/2018,DEPT OF FLEET MGMT,30303,"SUMIT CONSTRUCTION CO., INC.",True
PVRF782989643,6532.97,05/15/2019,DEPT OF BUSINESS & INFORMATION SERVICES,19542,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,True
PV99067689657,51912.88,01/02/2019,DEPT OF FAMILY AND SUPPORT SERVICES,DV,HORIZON MANAGEMENT CORP,True
CVIP741602881,30923.09,10/05/2019,DEPT OF GENERAL SERVICES,20293,"T. Y. LIN INTERNATIONAL GREAT LAKES, INC.",True
PVCI366441998,2165.1,01/19/2018,DEPARTMENT OF HEALTH,69568,LANGUAGE LINE SERVICES 01,True
PV39488172413,4008.08,11/02/2018,DEPT OF GENERAL SERVICES,28466,"OAKK CONSTRUCTION COMPANY, INC",True
PV99764936887,17684.89,10/20/2019,DEPT OF AVIATION,28364,SAFER FOUNDATION 01,True
PVRF636301073,21.95,11/02/2018,DEPT OF FAMILY AND SUPPORT SERVICES,28295,P V HOLDING CORP,True
PVRF753428846,9321.34,03/10/2018,DEPT OF FAMILY AND SUPPORT SERVICES,58539,G & V CONSTRUCTION CO INC,True
PVCI396103491,759.08,06/13/2019,DEPARTMENT OF WATER MANAGEMENT,24026,COVENTRY WORKERS' COMP SERVICES,True
PV27194306764,53581.44,09/19/2019,CHICAGO PUBLIC LIBRARY,31001,"ANCHOR MECHANICAL, INC",True
PV39302070503,222402.8,07/24/2019,DEPT OF GENERAL SERVICES,40336,CHICAGO YOUTH CENTERS,True
CVIP282534441,20.72,10/01/2019,DEPT OF FAMILY AND SUPPORT SERVICES,24025,P V HOLDING CORP,True
PVCI271922779,6224.4,05/17/2018,DEPARTMENT OF WATER MANAGEMENT,19542,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,True
PV39621862492,30921.94,11/12/2018,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,21859,DELL MARKETING LP.,True
PV99372086862,374633.13,07/12/2019,DEPT OF STREETS & SANITATION,14731,"MEDRISK, INC",True
PVRF616465230,69780.0,03/08/2018,DEPT OF FAMILY AND SUPPORT SERVICES,19550,DMJM AVIATION PARTNERS,True
PV99581327746,409.04,09/21/2019,DEPT OF GENERAL SERVICES,34450,"OFFICE DEPOT, INC.",True
PV39665445544,32021.15,04/21/2018,DEPT OF AVIATION,30301,CARE PLUS LLC,True
PVRF103510842,31807.69,06/17/2019,DEPARTMENT OF HEALTH,19755,G & V CONSTRUCTION CO INC,True
PVRF042708010,117240.31,06/27/2018,DEPT OF GENERAL SERVICES,102621,"GRAYBAR ELECTRIC COMPANY, INC",True
PV27874162163,547.3,04/08/2018,DEPT OF GENERAL SERVICES,19550,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,True
