VOUCHER NUMBER,AMOUNT,CHECK DATE,DEPARTMENT NAME,VENDOR NAME,YEAR,MONTH
CVIP256367196,12638.08,2018-08-17,DEPT OF GENERAL SERVICES,FIRST SCRIPT,2018,8
PV99347334335,35227.97,2018-01-27,DEPT OF AVIATION,"CDW GOVERNMENT, LLC.",2018,1
PV27661203121,161260.0,2019-07-31,DEPT OF BUSINESS & INFORMATION SERVICES,BENCH MARK CONSTRUCTION. CO. INC,2019,7
PVRF529358770,8578.72,2019-03-04,FIRE DEPARTMENT,AT&T CORP,2019,3
CVIP764073565,5409.19,2018-03-27,DEPARTMENT OF POLICE,RUSH UNIVERSITY MEDICAL CENTER,2018,3
PVRF581587102,932707.73,2018-05-28,DEPT OF BUSINESS & INFORMATION SERVICES,KENNY CONSTRUCTION COMPANY,2018,5
PVCI999144617,9661.33,2019-02-15,DEPT OF AVIATION,AT&T CORP,2019,2
PVRF043114796,47059.81,2019-08-01,DEPT OF FAMILY AND SUPPORT SERVICES,ENTERPRISE LEASING CO OF CHICAGO,2019,8
PVRF301088589,6915.15,2019-03-16,DEPT OF FAMILY AND SUPPORT SERVICES,PITNEY BOWES GLOBAL FINANCIAL,2019,3
PV27506956489,130074.87,2018-11-23,DEPT OF FAMILY AND SUPPORT SERVICES,WORLD FUEL SERVICES INC,2018,11
PVRF560371982,27808.35,2018-10-26,FIRE DEPARTMENT,"SKYTECH ENTERPRISES, LIMITED",2018,10
PV99709094933,72652.08,2018-08-05,DEPT OF AVIATION,G & V CONSTRUCTION CO INC,2018,8
PV27076763263,72329.08,2018-01-29,DEPT OF FLEET MGMT,HAYMARKET CENTER,2018,1
CVIP600261258,974.76,2018-05-29,DEPARTMENT OF WATER MANAGEMENT,"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C",2018,5
CVIP256286723,24207.2,2019-08-15,DEPT OF COMMUNITY DEVELOPMENT,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2019,8
CVIP025862011,957.2,2018-09-29,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,9
PV39718873484,581.09,2019-02-10,DEPT OF FAMILY AND SUPPORT SERVICES,"ARROW MESSENGER SERVICES, INC.",2019,2
PV99478041818,10243.29,2018-05-30,DEPT OF AVIATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,5
PV39570623638,1056.61,2019-07-27,DEPT OF FAMILY AND SUPPORT SERVICES,MCKESSON - MEDICAL-SURGICAL GOVERNMENT SOLUTIONS LLC,2019,7
CVIP741645619,889.97,2018-03-18,DEPT OF FLEET MGMT,"INGRAM LIBRARY SERVICES, INC",2018,3
PV27848589410,27356.62,2018-01-22,CHICAGO DEPARTMENT OF TRANSPORTATION,G & V CONSTRUCTION CO INC,2018,1
PV99367563525,2566.02,2018-02-06,DEPT OF FLEET MGMT,JOHNSON PIPE & SUPPLY COMPANY INC,2018,2
PV39001244410,16345.95,2018-08-17,DEPT OF GENERAL SERVICES,AT&T CORP,2018,8
PVCI486407790,45884.51,2018-08-12,DEPT OF COMMUNITY DEVELOPMENT,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,2018,8
PV99722649578,240.16,2019-02-11,FIRE DEPARTMENT,"SAFELITE FULFILLMENT, INC.",2019,2
PVCI159279347,6079.68,2019-05-21,DEPT OF FAMILY AND SUPPORT SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,5
PV99434389896,53543.52,2019-01-24,OFFICE OF EMERGENCY COMMUNICATION,"UNISON CONSULTING, INC.",2019,1
CVIP714234782,185011.9,2018-02-27,DEPT OF GENERAL SERVICES,DELL MARKETING LP.,2018,2
PVCI848556429,2025.26,2018-08-28,DEPT OF COMMUNITY DEVELOPMENT,"OFFICE DEPOT, INC.",2018,8
PV99202860336,545743.13,2019-04-27,DEPT OF BUSINESS & INFORMATION SERVICES,KENNY CONSTRUCTION COMPANY,2019,4
PVCI057608773,43.14,2019-01-02,DEPT OF GENERAL SERVICES,GREATER ILLINOIS TITLE COMPANY,2019,1
PV27267071292,36814.13,2019-11-14,DEPT OF GENERAL SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2019,11
CVIP358689978,179.5,2019-02-02,DEPT OF FAMILY AND SUPPORT SERVICES,AT & T 09,2019,2
PV99845280215,568045.37,2018-07-15,DEPT OF FAMILY AND SUPPORT SERVICES,"CDW GOVERNMENT, LLC.",2018,7
CVIP549625647,1250.91,2018-09-24,DEPT OF FAMILY AND SUPPORT SERVICES,BOYS & GIRLS CLUBS OF CHICAGO,2018,9
PV39186375619,28051.03,2019-04-19,CHICAGO PUBLIC LIBRARY,CHICAGO COMMONS ASSOCIATION 02,2019,4
PV99928373598,22896.04,2018-02-18,FIRE DEPARTMENT,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2018,2
PV27891300729,7.85,2019-11-02,DEPT OF FAMILY AND SUPPORT SERVICES,P V HOLDING CORP,2019,11
PVCI428581116,1849.41,2018-09-22,DEPT OF FAMILY AND SUPPORT SERVICES,CANON SOLUTIONS AMERICA INC,2018,9
PV99651756763,5033.94,2018-09-26,DEPT OF GENERAL SERVICES,YOUNG MEN'S CHRISTIAN ASSOCIATION OF CHICAGO,2018,9
PVRF199815040,8184.88,2018-01-29,DEPT OF BUSINESS & INFORMATION SERVICES,"INGRAM LIBRARY SERVICES, INC",2018,1
PVRF433874906,33257.5,2019-03-07,DEPARTMENT OF LAW,G & V CONSTRUCTION CO INC,2019,3
PVCI783553188,407245.43,2018-09-01,DEPT OF FAMILY AND SUPPORT SERVICES,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,2018,9
PV39691018541,16299.26,2019-11-16,DEPT OF AVIATION,"SILK SCREEN EXPRESS, INC.",2019,11
PVRF396811647,2817.24,2018-02-05,FIRE DEPARTMENT,COMCAST OF CHICAGO INC,2018,2
PVCI442258845,63.68,2019-04-01,CHICAGO PUBLIC LIBRARY,"OFFICE DEPOT, INC.",2019,4
PV27507292149,12952.35,2019-08-19,CHICAGO DEPARTMENT OF TRANSPORTATION,"RICONDO & ASSOCIATES, INC.",2019,8
PV39738075682,245.9,2018-01-13,DEPARTMENT OF WATER MANAGEMENT,"OFFICE DEPOT, INC.",2018,1
PVCI855804279,4693.69,2018-03-26,DEPT OF GENERAL SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,3
PV39222181255,3414.2,2018-04-16,CHICAGO DEPARTMENT OF TRANSPORTATION,HAYMARKET CENTER,2018,4
PV39929168851,5894.73,2019-10-15,DEPT OF GENERAL SERVICES,HERC RENTALS INC,2019,10
PVRF543640468,7098.59,2018-06-28,DEPT OF AVIATION,SET ENVIRONMENTAL INC,2018,6
PV27588417932,60586.89,2019-07-21,DEPT OF FAMILY AND SUPPORT SERVICES,"ERIE FAMILY HEALTH CENTER, INC.",2019,7
PV99042717650,11098.58,2019-05-09,DEPARTMENT OF POLICE,JOHNSON PIPE & SUPPLY COMPANY INC,2019,5
CVIP059973791,49193.7,2018-07-04,DEPT OF AVIATION,"MCDONAGH DEMOLITION, INC.",2018,7
PV99878336734,2351.32,2018-07-23,DEPARTMENT OF HEALTH,HIGHWAY SAFETY CORPORATION.,2018,7
PV39699574780,2464.4,2018-04-20,FIRE DEPARTMENT,"OFFICE DEPOT, INC.",2018,4
PVCI798110785,7728.09,2018-10-30,DEPARTMENT OF WATER MANAGEMENT,"OFFICE DEPOT, INC.",2018,10
PV99370155586,528.28,2019-04-05,CHICAGO DEPARTMENT OF TRANSPORTATION,MERCYWORKS OCCUPATIONAL MEDICINE,2019,4
PV99335460962,45047.85,2019-02-24,DEPARTMENT OF REVENUE,DELL MARKETING LP.,2019,2
PV27268963436,57824.18,2018-07-01,DEPT OF FAMILY AND SUPPORT SERVICES,METROPOLITAN FAMILY SERVICE,2018,7
PV27577680052,235670.18,2019-01-03,DEPT OF GENERAL SERVICES,"UNISON CONSULTING, INC.",2019,1
PV39716667042,22505.54,2019-06-28,CHICAGO PUBLIC LIBRARY,BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,2019,6
PV27053457310,17646.89,2019-05-07,DEPT OF AVIATION,RUSH UNIVERSITY MEDICAL CENTER,2019,5
CVIP446425316,68565.16,2019-09-01,DEPT OF GENERAL SERVICES,JOHNSON PIPE & SUPPLY COMPANY INC,2019,9
PV39947027329,2887.51,2018-04-14,DEPT OF FAMILY AND SUPPORT SERVICES,HERC RENTALS INC,2018,4
PV99111838401,22930.25,2018-11-11,DEPT OF FAMILY AND SUPPORT SERVICES,PEOPLE'S GAS LIGHTS & COKE COOK FLEET|CLEANED-UP,2018,11
PV99084279611,381.53,2019-10-08,DEPT OF GENERAL SERVICES,GREATER ILLINOIS TITLE COMPANY,2019,10
PV39915371986,2092.71,2018-10-29,DEPT OF FAMILY AND SUPPORT SERVICES,AT & T 09,2018,10
PV99483933260,226207.72,2018-09-15,DEPT OF GENERAL SERVICES,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2018,9
PV99932229633,21.94,2018-12-04,DEPT OF AVIATION,"OFFICE DEPOT, INC.",2018,12
PVRF181524222,261.56,2018-10-01,DEPT OF FAMILY AND SUPPORT SERVICES,HERC RENTALS INC,2018,10
PV39248406372,48966.51,2019-09-28,DEPARTMENT OF WATER MANAGEMENT,"BOARD OF TRUSTEES OF COMMUNITY COLLEGE DISTRICT #508, COUNTY OF COOK & STATE OF ILLINOIS",2019,9
PV39620238331,60137.6,2019-02-23,DEPT OF BUSINESS & INFORMATION SERVICES,HNTB CORPORATION,2019,2
PV39833174673,43751.45,2019-10-25,DEPARTMENT OF HEALTH,EL HOGAR DEL NINO INC|CLEANED-UP,2019,10
PVCI809627454,1971.0,2019-11-10,DEPT OF STREETS & SANITATION,KENNY CONSTRUCTION COMPANY - URGENT - SAME DAY WIRE TRANSFER,2019,11
PV39606801751,1667.77,2019-07-27,DEPARTMENT OF POLICE,SIGNATURE FLIGHT SUPPORT,2019,7
CVIP266168202,24200.26,2018-09-25,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,9
PV39467381465,18049.63,2019-01-31,DEPT OF FAMILY AND SUPPORT SERVICES,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2019,1
PV39860290824,20403.0,2019-07-16,DEPT OF GENERAL SERVICES,PUBLIC HEALTH INSTITUTE OF METROPOLITAN CHICAGO,2019,7
CVIP575869696,57507.8,2019-03-04,DEPT OF FAMILY AND SUPPORT SERVICES,"ARNOLD SCOTT HARRIS, P.C.",2019,3
PVRF736124236,4034.38,2019-04-16,DEPT OF BUSINESS & INFORMATION SERVICES,"MIDWEST ORTHOPAEDICS AT RUSH, LLC",2019,4
PV27871983505,29320.67,2019-01-31,CHICAGO DEPARTMENT OF TRANSPORTATION,CHICAGO CHILD CARE SOCIETY,2019,1
PV99792174679,10194.93,2019-05-21,DEPT OF AVIATION,CHRISTIAN COMMUNITY HEALTH CENTER,2019,5
PVRF579036823,34905.95,2019-10-07,DEPT OF FAMILY AND SUPPORT SERVICES,CAROLE ROBERTSON CENTER FOR LEARNING,2019,10
PV39256913349,37502.27,2018-05-10,DEPARTMENT OF WATER MANAGEMENT,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,5
CVIP365266992,271.79,2019-02-27,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2019,2
PVRF997952336,77789.45,2019-03-08,DEPT OF FAMILY AND SUPPORT SERVICES,DYNAMO MANAGEMENT CORP,2019,3
CVIP771814895,18702.57,2019-08-25,DEPT OF FAMILY AND SUPPORT SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,8
PV99435768555,62.26,2019-04-25,DEPARTMENT OF POLICE,"IL BONE AND JOINT INSTITUTE, LLC",2019,4
PV27488221147,8970.44,2018-08-02,DEPT OF GENERAL SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,8
PV39037976530,2343.95,2019-10-28,DEPT OF FAMILY AND SUPPORT SERVICES,ALL CHICAGO MAKING HOMELESSNESS HISTORY,2019,10
PV27333897987,24.95,2019-01-30,DEPARTMENT OF WATER MANAGEMENT,P V HOLDING CORP,2019,1
PV27100622200,4362.89,2018-07-10,DEPARTMENT OF WATER MANAGEMENT,SECRETARY OF STATE,2018,7
PVCI639395896,135.91,2019-09-04,DEPARTMENT OF HEALTH,SCR MEDICAL TRANSPORTATIONS INC LS,2019,9
PV27861255177,7139.15,2018-08-13,DEPARTMENT OF FINANCE,"INGRAM LIBRARY SERVICES, INC",2018,8
PV99225181440,70473.1,2019-04-05,DEPARTMENT OF WATER MANAGEMENT,"T. Y. LIN INTERNATIONAL GREAT LAKES, INC.",2019,4
PVRF266273103,5909.7,2018-02-17,DEPT OF COMMUNITY DEVELOPMENT,VERIZON WIRELESS,2018,2
PV39340804115,5877.6,2018-02-21,DEPT OF FAMILY AND SUPPORT SERVICES,PRIMO CENTER FOR WOMEN AND CHILDREN,2018,2
PVCI201024234,3543.44,2018-09-12,DEPT OF FAMILY AND SUPPORT SERVICES,AIR ONE EQUIPMENT INC,2018,9
PV39539049743,19103.95,2019-04-05,DEPT OF COMMUNITY DEVELOPMENT,PRODUCTION DISTRIBUTION COMPANIES,2019,4
PV99327431401,2572.43,2018-08-04,DEPT OF FAMILY AND SUPPORT SERVICES,SCR MEDICAL TRANSPORTATIONS INC LS,2018,8
PV39916291574,4064.96,2019-02-10,DEPT OF GENERAL SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2019,2
PV99997497584,10243.29,2018-05-30,DEPT OF AVIATION,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,5
PV39898183759,1772575.22,2018-07-03,DEPT OF FAMILY AND SUPPORT SERVICES,"F.H. PASCHEN, S.N. NIELSEN & ASSOCIATES, LLC",2018,7
PVRF316206033,177460.6,2019-06-26,CHICAGO DEPARTMENT OF TRANSPORTATION,"INGRAM LIBRARY SERVICES, INC",2019,6
PV27127924824,1512.44,2019-10-21,DEPT OF FAMILY AND SUPPORT SERVICES,FEDEX,2019,10
PV39813232868,533.39,2018-12-19,DEPARTMENT OF POLICE,SERVICE SANITATION,2018,12
PVRF572600642,999.46,2018-02-22,DEPT OF GENERAL SERVICES,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,2018,2
PVRF549630074,7248.1,2018-12-26,DEPT OF AVIATION,PRIMO CENTER FOR WOMEN AND CHILDREN,2018,12
PV39076844885,47015.07,2019-05-15,CHICAGO DEPARTMENT OF TRANSPORTATION,"CHRISTOFANO EQUIPMENT CO., INC.",2019,5
PV27157951698,62180.87,2019-09-27,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,"UNISON CONSULTING, INC.",2019,9
PVCI112441839,3518.3,2018-06-12,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,6
PVRF929965289,14458.58,2018-05-01,DEPT OF GENERAL SERVICES,COMMONWEALTH. EDISON CO.,2018,5
PVCI736328302,344520.7,2018-11-21,DEPT OF FAMILY AND SUPPORT SERVICES,CHICAGO YOUTH CENTERS,2018,11
PV39562187496,49136.0,2019-07-07,DEPT OF FAMILY AND SUPPORT SERVICES,G & V CONSTRUCTION CO INC,2019,7
PVRF240809975,49741.24,2019-06-05,CHICAGO DEPARTMENT OF TRANSPORTATION,"CHINESE AMERICAN SERVICE LEAGUE, INC.",2019,6
PVCI708375001,399.05,2019-07-03,CHICAGO DEPARTMENT OF TRANSPORTATION,AT&T CORP,2019,7
PVRF247695482,101.74,2018-06-20,DEPT OF FAMILY AND SUPPORT SERVICES,"OFFICE DEPOT, INC.",2018,6
PVRF185854586,27790.45,2019-06-03,DEPT OF FAMILY AND SUPPORT SERVICES,CAROLE ROBERTSON CENTER FOR LEARNING,2019,6
CVIP154867684,1274.68,2018-08-15,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,"OFFICE DEPOT, INC.",2018,8
PV27558330879,12583.82,2019-08-10,DEPT OF FAMILY AND SUPPORT SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2019,8
CVIP940744910,75319.82,2019-01-18,DEPARTMENT OF HEALTH,"MORTON SALT, INC.",2019,1
CVIP249731318,3630.3,2019-03-09,DEPT OF FAMILY AND SUPPORT SERVICES,"CITY ESCAPE GARDEN & DESIGN,LLC",2019,3
CVIP468647534,13137.58,2019-10-03,CHICAGO DEPARTMENT OF TRANSPORTATION,DYNAMO ENTERPRISES INC,2019,10
PVCI990718106,2501.05,2019-02-05,DEPT OF BUSINESS & INFORMATION SERVICES,KOAL ENTERPRISES INC,2019,2
PV39488055410,18053.75,2018-09-05,DEPT OF FAMILY AND SUPPORT SERVICES,"ALBANY PARK COMMUNITY CENTER, INC",2018,9
PVRF616624394,280.92,2019-11-27,DEPARTMENT OF WATER MANAGEMENT,PV HOLDING CORP,2019,11
PV27643193746,112736.9,2019-08-09,DEPARTMENT OF LAW,"WELCH BROTHERS, INC",2019,8
PV39468881733,2326.78,2019-03-09,CHICAGO DEPARTMENT OF TRANSPORTATION,"OFFICE DEPOT, INC.",2019,3
PV99391503449,60.62,2019-02-18,CHICAGO DEPARTMENT OF TRANSPORTATION,AMERICAN EXPRESS TRAVEL RELATE,2019,2
PVRF346061599,9950.93,2018-05-27,DEPT OF GENERAL SERVICES,HAYMARKET CENTER,2018,5
PVRF352341525,1128.54,2018-07-25,DEPT OF GENERAL SERVICES,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH LLC.,2018,7
PVRF556168363,6793.87,2018-10-15,DEPT OF FLEET MGMT,"URLAUB, BOWEN & ASSOCIATES. INC.",2018,10
PVRF825585783,233.72,2019-11-09,DEPT OF BUSINESS & INFORMATION SERVICES,"OFFICE DEPOT, INC.",2019,11
PVRF053866228,10050.39,2018-09-20,DEPT OF FAMILY AND SUPPORT SERVICES,HOWARD BROWN HEALTH CENTER,2018,9
PVRF728396960,19834.53,2019-03-05,DEPT OF FAMILY AND SUPPORT SERVICES,QUANTUM HOLDINGS INC,2019,3
PV99501477491,77570.73,2018-01-30,DEPT OF FLEET MGMT,"SUMIT CONSTRUCTION CO., INC.",2018,1
PVRF782989643,6532.97,2019-05-15,DEPT OF BUSINESS & INFORMATION SERVICES,CITY UTILITY EQUIPMENT SALES & LEASING COMPANY,2019,5
PV99067689657,51912.88,2019-01-02,DEPT OF FAMILY AND SUPPORT SERVICES,HORIZON MANAGEMENT CORP,2019,1
CVIP741602881,30923.09,2019-10-05,DEPT OF GENERAL SERVICES,"T. Y. LIN INTERNATIONAL GREAT LAKES, INC.",2019,10
PVCI366441998,2165.1,2018-01-19,DEPARTMENT OF HEALTH,LANGUAGE LINE SERVICES 01,2018,1
PV39488172413,4008.08,2018-11-02,DEPT OF GENERAL SERVICES,"OAKK CONSTRUCTION COMPANY, INC",2018,11
PV99764936887,17684.89,2019-10-20,DEPT OF AVIATION,SAFER FOUNDATION 01,2019,10
PVRF636301073,21.95,2018-11-02,DEPT OF FAMILY AND SUPPORT SERVICES,P V HOLDING CORP,2018,11
PVRF753428846,9321.34,2018-03-10,DEPT OF FAMILY AND SUPPORT SERVICES,G & V CONSTRUCTION CO INC,2018,3
PVCI396103491,759.08,2019-06-13,DEPARTMENT OF WATER MANAGEMENT,COVENTRY WORKERS' COMP SERVICES,2019,6
PV27194306764,53581.44,2019-09-19,CHICAGO PUBLIC LIBRARY,"ANCHOR MECHANICAL, INC",2019,9
PV39302070503,222402.8,2019-07-24,DEPT OF GENERAL SERVICES,CHICAGO YOUTH CENTERS,2019,7
CVIP282534441,20.72,2019-10-01,DEPT OF FAMILY AND SUPPORT SERVICES,P V HOLDING CORP,2019,10
PVCI271922779,6224.4,2018-05-17,DEPARTMENT OF WATER MANAGEMENT,AIDS FOUNDATION OF CHICAGO|CLEANED-UP,2018,5
PV39621862492,30921.94,2018-11-12,DEPT OF BUSINESS AFFAIRS & CONSUMER PROTECTION,DELL MARKETING LP.,2018,11
PV99372086862,374633.13,2019-07-12,DEPT OF STREETS & SANITATION,"MEDRISK, INC",2019,7
PVRF616465230,69780.0,2018-03-08,DEPT OF FAMILY AND SUPPORT SERVICES,DMJM AVIATION PARTNERS,2018,3
PV99581327746,409.04,2019-09-21,DEPT OF GENERAL SERVICES,"OFFICE DEPOT, INC.",2019,9
PV39665445544,32021.15,2018-04-21,DEPT OF AVIATION,CARE PLUS LLC,2018,4
PVRF103510842,31807.69,2019-06-17,DEPARTMENT OF HEALTH,G & V CONSTRUCTION CO INC,2019,6
PVRF042708010,117240.31,2018-06-27,DEPT OF GENERAL SERVICES,"GRAYBAR ELECTRIC COMPANY, INC",2018,6
PV27874162163,547.3,2018-04-08,DEPT OF GENERAL SERVICES,ROOT BROTHERS.MANUFACTURING & SUPPLY CO.,2018,4
